iter	Passed	Remaining
330	9259	18715
331	9291	18694
332	9326	18680
333	9358	18660
334	9390	18641
335	9426	18628
336	9457	18606
337	9489	18585
338	9514	18551
339	9537	18514
340	9565	18486
341	9589	18450
342	9619	18425
343	9644	18391
344	9667	18354
345	9696	18327
346	9720	18292
347	9745	18259
348	9771	18227
349	9800	18200
350	9826	18169
351	9859	18150
352	9897	18141
353	9926	18115
354	9959	18095
355	9996	18082
356	10031	18068
357	10066	18051
358	10102	18038
359	10137	18022
360	10173	18008
361	10206	17988
362	10242	17974
363	10278	17959
364	10313	17941
365	10347	17924
366	10383	17909
367	10416	17889
368	10449	17868
369	10481	17846
370	10522	17840
371	10551	17813
372	10583	17790
373	10615	17768
374	10642	17737
375	10673	17713
376	10705	17690
377	10738	17669
378	10769	17646
379	10805	17629
380	10838	17609
381	10871	17587
382	10905	17568
383	10933	17539
384	10964	17514
385	10992	17485
386	11014	17446
387	11036	17408
388	11066	17381
389	11091	17348
390	11122	17324
391	11148	17291
392	11174	17259
393	11206	17236
394	11238	17212
395	11275	17197
396	11305	17171
397	11336	17147
398	11365	17118
399	11388	17082
400	11412	17047
401	11435	17010
402	11465	16984
403	11488	16948
404	11514	16916
405	11539	16883
406	11566	16852
407	11595	16824
408	11617	16787
409	11639	16749
410	11661	16712
411	11683	16675
412	11704	16635
413	11726	16598
414	11750	16564
415	11772	16526
416	11797	16493
417	11820	16458
418	11842	16421
419	11865	16385
420	11887	16349
421	11911	16314
422	11934	16279
423	11960	16248
424	11983	16213
425	12006	16177
426	12024	16136
427	12048	16102
428	12074	16071
429	12097	16036
430	12122	16004
431	12146	15969
432	12169	15935
433	12193	15902
434	12216	15867
435	12239	15833
436	12262	15798
437	12288	15767
438	12312	15734
439	12335	15700
440	12358	15665
441	12380	15629
442	12404	15596
443	12425	15559
444	12450	15528
445	12474	15495
446	12496	15460
447	12522	15430
448	12544	15394
449	12568	15361
450	12587	15323
451	12610	15288
452	12633	15254
453	12657	15222
454	12679	15187
455	12704	15156
456	12729	15124
457	12752	15090
458	12772	15054
459	12796	15021
460	12818	14986
461	12840	14952
462	12865	14921
463	12886	14886
464	12908	14851
465	12936	14824
466	12967	14799
467	12989	14765
468	13012	14733
469	13036	14700
470	13057	14664
471	13078	14630
472	13100	14596
473	13124	14564
474	13147	14531
475	13173	14502
476	13198	14471
477	13222	14439
478	13243	14405
479	13264	14370
480	13291	14341
481	13314	14309
482	13339	14278
483	13364	14247
484	13385	14213
485	13411	14184
486	13433	14151
487	13459	14121
488	13485	14091
489	13507	14058
490	13531	14027
491	13553	13994
492	13577	13963
493	13601	13931
494	13623	13898
495	13645	13865
496	13669	13835
497	13693	13803
498	13717	13772
499	13740	13740
500	13763	13708
501	13785	13675
502	13806	13641
503	13830	13610
504	13853	13579
505	13874	13545
506	13896	13513
507	13918	13480
508	13943	13450
509	13974	13426
510	13998	13395
511	14021	13363
512	14042	13330
513	14063	13297
514	14087	13266
515	14108	13233
516	14132	13203
517	14159	13175
518	14187	13148
519	14211	13118
520	14236	13088
521	14258	13056
522	14279	13023
523	14302	12992
524	14327	12962
525	14351	12932
526	14372	12899
527	14396	12870
528	14419	12838
529	14441	12806
530	14466	12777
531	14493	12750
532	14517	12720
533	14543	12691
534	14565	12660
535	14587	12628
536	14613	12599
537	14634	12567
538	14658	12537
539	14683	12507
540	14705	12476
541	14728	12446
542	14751	12414
543	14772	12382
544	14796	12352
545	14819	12322
546	14839	12289
547	14861	12257
548	14884	12227
549	14908	12197
550	14931	12167
551	14955	12137
552	14980	12108
553	15004	12079
554	15029	12050
555	15052	12020
556	15071	11986
557	15090	11953
558	15114	11923
559	15134	11891
560	15160	11863
561	15183	11833
562	15205	11802
563	15226	11770
564	15250	11741
565	15276	11714
566	15301	11685
567	15330	11659
568	15359	11634
569	15386	11607
570	15416	11582
571	15448	11559
572	15481	11536
573	15509	11510
574	15540	11486
575	15565	11458
576	15587	11426
577	15613	11399
578	15640	11372
579	15665	11343
580	15698	11321
581	15727	11295
582	15756	11270
583	15785	11244
584	15814	11218
585	15842	11192
586	15870	11166
587	15895	11137
588	15920	11109
589	15949	11083
590	15981	11060
591	16016	11038
592	16047	11014
593	16076	10988
594	16108	10964
595	16141	10941
596	16172	10916
597	16203	10892
598	16230	10865
599	16260	10840
600	16291	10815
601	16320	10789
602	16349	10763
603	16374	10735
604	16397	10705
605	16421	10676
606	16449	10650
607	16475	10622
608	16498	10592
609	16521	10563
610	16548	10535
611	16573	10507
612	16596	10477
613	16620	10448
614	16662	10430
615	16692	10405
616	16716	10376
617	16736	10345
618	16759	10315
619	16785	10287
620	16809	10258
621	16834	10230
622	16856	10200
623	16880	10171
624	16907	10144
625	16936	10118
626	16963	10091
627	16986	10061
628	17010	10033
629	17034	10004
630	17057	9975
631	17081	9946
632	17105	9917
633	17130	9888
634	17156	9861
635	17184	9835
636	17214	9809
637	17243	9783
638	17274	9759
639	17311	9737
640	17344	9713
641	17374	9688
642	17407	9664
643	17432	9636
644	17461	9610
645	17490	9584
646	17519	9558
647	17547	9531
648	17576	9505
649	17608	9481
650	17632	9452
651	17661	9426
652	17689	9399
653	17716	9373
654	17744	9346
655	17768	9317
656	17791	9288
657	17816	9260
658	17842	9232
659	17869	9205
660	17895	9177
661	17921	9150
662	17953	9125
663	17987	9102
664	18015	9075
665	18044	9049
666	18067	9019
667	18092	8992
668	18119	8964
669	18141	8935
670	18165	8906
671	18191	8879
672	18218	8851
673	18243	8823
674	18269	8796
675	18294	8768
676	18322	8741
677	18347	8713
678	18376	8687
679	18401	8659
680	18425	8630
681	18453	8604
682	18480	8577
683	18507	8550
684	18535	8523
685	18562	8496
686	18592	8470
687	18616	8442
688	18643	8415
689	18666	8386
690	18692	8359
691	18718	8331
692	18744	8303
693	18770	8276
694	18795	8248
695	18822	8221
696	18855	8196
697	18883	8170
698	18910	8142
699	18932	8113
700	18957	8086
701	18989	8061
702	19014	8033
703	19043	8006
704	19071	7980
705	19100	7953
706	19127	7926
707	19154	7899
708	19179	7871
709	19204	7844
710	19233	7817
711	19270	7794
712	19305	7770
713	19332	7743
714	19358	7716
715	19388	7690
716	19418	7664
717	19448	7638
718	19473	7610
719	19500	7583
720	19531	7557
721	19555	7529
722	19580	7501
723	19604	7473
724	19635	7448
725	19668	7423
726	19698	7397
727	19730	7371
728	19763	7346
729	19794	7321
730	19822	7294
731	19857	7270
732	19892	7245
733	19922	7219
734	19958	7195
735	19984	7168
736	20011	7141
737	20033	7112
738	20057	7083
739	20080	7055
740	20104	7027
741	20131	6999
742	20162	6974
743	20191	6947
744	20224	6922
745	20246	6893
746	20271	6865
747	20295	6837
748	20318	6809
749	20341	6780
750	20366	6752
751	20393	6725
752	20417	6697
753	20443	6669
754	20469	6642
755	20491	6613
756	20513	6585
757	20538	6557
758	20562	6529
759	20588	6501
760	20618	6475
761	20650	6450
762	20683	6424
763	20715	6399
764	20747	6373
765	20780	6348
766	20809	6321
767	20838	6294
768	20866	6268
769	20894	6241
770	20921	6214
771	20950	6187
772	20980	6161
773	21006	6133
774	21033	6106
775	21061	6079
776	21089	6052
777	21115	6025
778	21142	5997
779	21168	5970
780	21192	5942
781	21216	5914
782	21240	5886
783	21267	5859
784	21295	5832
785	21323	5805
786	21349	5778
787	21377	5751
788	21407	5724
789	21435	5698
790	21465	5671
791	21490	5643
792	21520	5617
793	21548	5590
794	21573	5562
795	21596	5534
796	21624	5507
797	21649	5480
798	21674	5452
799	21702	5425
800	21726	5397
801	21749	5369
802	21773	5341
803	21801	5314
804	21827	5287
805	21852	5259
806	21877	5232
807	21903	5204
808	21937	5179
809	21967	5152
810	21993	5125
811	22019	5098
812	22042	5070
813	22068	5042
814	22092	5014
815	22117	4987
816	22140	4959
817	22163	4931
818	22185	4903
819	22210	4875
820	22230	4846
821	22252	4818
822	22274	4790
823	22299	4762
824	22325	4735
825	22348	4707
826	22372	4680
827	22398	4652
828	22423	4625
829	22452	4598
830	22475	4570
831	22502	4543
832	22527	4516
833	22550	4488
834	22574	4460
835	22598	4433
836	22621	4405
837	22642	4377
838	22667	4349
839	22692	4322
840	22718	4295
841	22746	4268
842	22775	4241
843	22799	4214
844	22824	4186
845	22851	4159
846	22876	4132
847	22903	4105
848	22934	4079
849	22961	4052
850	22985	4024
851	23006	3996
852	23033	3969
853	23058	3942
854	23086	3915
855	23113	3888
856	23141	3861
857	23169	3834
858	23193	3807
859	23219	3779
860	23244	3752
861	23270	3725
862	23297	3698
863	23326	3671
864	23354	3644
865	23380	3617
866	23407	3590
867	23438	3564
868	23461	3536
869	23489	3509
870	23515	3482
871	23540	3455
872	23566	3428
873	23591	3400
874	23621	3374
875	23643	3346
876	23667	3319
877	23697	3292
878	23723	3265
879	23747	3238
880	23774	3211
881	23800	3184
882	23825	3156
883	23849	3129
884	23872	3102
885	23900	3075
886	23928	3048
887	23954	3021
888	23980	2994
889	24003	2966
890	24029	2939
891	24054	2912
892	24079	2885
893	24103	2857
894	24129	2830
895	24154	2803
896	24181	2776
897	24210	2749
898	24236	2722
899	24264	2696
900	24288	2668
901	24313	2641
902	24338	2614
903	24364	2587
904	24389	2560
905	24419	2533
906	24445	2506
907	24471	2479
908	24499	2452
909	24525	2425
910	24552	2398
911	24577	2371
912	24601	2344
913	24626	2317
914	24649	2289
915	24671	2262
916	24694	2235
917	24722	2208
918	24748	2181
919	24772	2154
920	24795	2126
921	24823	2100
922	24851	2073
923	24874	2045
924	24901	2019
925	24926	1991
926	24950	1964
927	24974	1937
928	25004	1911
929	25030	1884
930	25062	1857
931	25085	1830
932	25114	1803
933	25140	1776
934	25172	1749
935	25198	1723
936	25226	1696
937	25257	1669
938	25284	1642
939	25312	1615
940	25340	1588
941	25365	1561
942	25395	1535
943	25432	1508
944	25467	1482
945	25504	1455
946	25539	1429
947	25569	1402
948	25601	1375
949	25630	1348
950	25661	1322
951	25686	1295
952	25713	1268
953	25740	1241
954	25770	1214
955	25800	1187
956	25824	1160
957	25848	1133
958	25874	1106
959	25905	1079
960	25935	1052
961	25962	1025
962	25987	998
963	26013	971
964	26038	944
965	26061	917
966	26087	890
967	26114	863
968	26144	836
969	26170	809
970	26194	782
971	26214	755
972	26238	728
973	26261	701
974	26282	673
975	26303	646
976	26326	619
977	26353	592
978	26375	565
979	26398	538
980	26427	511
981	26450	484
982	26475	457
983	26499	430
984	26521	403
985	26546	376
986	26575	350
987	26601	323
988	26631	296
989	26656	269
990	26680	242
991	26706	215
992	26732	188
993	26759	161
994	26785	134
995	26815	107
996	26837	80
997	26863	53
998	26887	26
999	26914	0
